,Code,Measure,Gender,Race,Race_type,Location,Location_type,Income,Income_type,Time,Time_type,Value
12,F_INP8CALC,Count used to calculation progress 8,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,6042.0
13,F_INP8CALC,Count used to calculation progress 8,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,9230.0
14,F_INP8CALC,Count used to calculation progress 8,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3846.0
15,F_INP8CALC,Count used to calculation progress 8,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,790.0
16,F_INP8CALC,Count used to calculation progress 8,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3381.0
17,F_INP8CALC,Count used to calculation progress 8,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,12209.0
18,F_INP8CALC,Count used to calculation progress 8,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3455.0
19,F_INP8CALC,Count used to calculation progress 8,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,7351.0
20,F_INP8CALC,Count used to calculation progress 8,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,1403.0
21,F_INP8CALC,Count used to calculation progress 8,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,3062.0
22,F_INP8CALC,Count used to calculation progress 8,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,2396.0
23,F_INP8CALC,Count used to calculation progress 8,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,790.0
24,F_INP8CALC,Count used to calculation progress 8,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,3062.0
25,F_INP8CALC,Count used to calculation progress 8,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,2396.0
26,F_INP8CALC,Count used to calculation progress 8,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,251580.0
0,F_ATT8_AVG,Attainment 8,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,52.0
1,F_ATT8_AVG,Attainment 8,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,52.0
2,F_ATT8_AVG,Attainment 8,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,56.7
3,F_ATT8_AVG,Attainment 8,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,31.8
4,F_ATT8_AVG,Attainment 8,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,21.6
5,F_ATT8_AVG,Attainment 8,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,51.9
6,F_ATT8_AVG,Attainment 8,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,53.0
7,F_ATT8_AVG,Attainment 8,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,49.3
8,F_ATT8_AVG,Attainment 8,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,52.8
9,F_ATT8_AVG,Attainment 8,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,56.5
10,F_ATT8_AVG,Attainment 8,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,54.1
11,F_ATT8_AVG,Attainment 8,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,54.7
12,F_ATT8_AVG,Attainment 8,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,58.9
13,F_ATT8_AVG,Attainment 8,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,50.8
14,F_ATT8_AVG,Attainment 8,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,54.0
15,F_ATT8_AVG,Attainment 8,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,64.8
16,F_ATT8_AVG,Attainment 8,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,58.0
17,F_ATT8_AVG,Attainment 8,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,51.7
18,F_ATT8_AVG,Attainment 8,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,48.8
19,F_ATT8_AVG,Attainment 8,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,53.1
20,F_ATT8_AVG,Attainment 8,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,50.6
21,F_ATT8_AVG,Attainment 8,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,52.7
22,F_ATT8_AVG,Attainment 8,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,47.0
23,F_ATT8_AVG,Attainment 8,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,64.8
24,F_ATT8_AVG,Attainment 8,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,52.7
25,F_ATT8_AVG,Attainment 8,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,47.0
26,F_ATT8_AVG,Attainment 8,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,52.3
0,F_P8SCORE_AVG,Progress 8,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.05
1,F_P8SCORE_AVG,Progress 8,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.03
2,F_P8SCORE_AVG,Progress 8,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.22
3,F_P8SCORE_AVG,Progress 8,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.97
4,F_P8SCORE_AVG,Progress 8,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.63
5,F_P8SCORE_AVG,Progress 8,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.57
6,F_P8SCORE_AVG,Progress 8,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.1
7,F_P8SCORE_AVG,Progress 8,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.09
8,F_P8SCORE_AVG,Progress 8,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.21
9,F_P8SCORE_AVG,Progress 8,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.21
10,F_P8SCORE_AVG,Progress 8,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.19
11,F_P8SCORE_AVG,Progress 8,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.46
12,F_P8SCORE_AVG,Progress 8,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.59
13,F_P8SCORE_AVG,Progress 8,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.3
14,F_P8SCORE_AVG,Progress 8,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.48
15,F_P8SCORE_AVG,Progress 8,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.8
16,F_P8SCORE_AVG,Progress 8,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.63
17,F_P8SCORE_AVG,Progress 8,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.35
18,F_P8SCORE_AVG,Progress 8,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.05
19,F_P8SCORE_AVG,Progress 8,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.51
20,F_P8SCORE_AVG,Progress 8,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.3
21,F_P8SCORE_AVG,Progress 8,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.6
22,F_P8SCORE_AVG,Progress 8,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.2
23,F_P8SCORE_AVG,Progress 8,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.8
24,F_P8SCORE_AVG,Progress 8,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.6
25,F_P8SCORE_AVG,Progress 8,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,-0.2
26,F_P8SCORE_AVG,Progress 8,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,0.11
0,F_P8CILOW,Progress 8 - Lower bound,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.05
1,F_P8CILOW,Progress 8 - Lower bound,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.02
2,F_P8CILOW,Progress 8 - Lower bound,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.14
3,F_P8CILOW,Progress 8 - Lower bound,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-1.26
4,F_P8CILOW,Progress 8 - Lower bound,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.74
5,F_P8CILOW,Progress 8 - Lower bound,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.55
6,F_P8CILOW,Progress 8 - Lower bound,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.08
7,F_P8CILOW,Progress 8 - Lower bound,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.13
8,F_P8CILOW,Progress 8 - Lower bound,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.15
9,F_P8CILOW,Progress 8 - Lower bound,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.17
10,F_P8CILOW,Progress 8 - Lower bound,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.15
11,F_P8CILOW,Progress 8 - Lower bound,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.45
12,F_P8CILOW,Progress 8 - Lower bound,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.57
13,F_P8CILOW,Progress 8 - Lower bound,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.28
14,F_P8CILOW,Progress 8 - Lower bound,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.45
15,F_P8CILOW,Progress 8 - Lower bound,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.72
16,F_P8CILOW,Progress 8 - Lower bound,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.59
17,F_P8CILOW,Progress 8 - Lower bound,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.33
18,F_P8CILOW,Progress 8 - Lower bound,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.01
19,F_P8CILOW,Progress 8 - Lower bound,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.48
20,F_P8CILOW,Progress 8 - Lower bound,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.24
21,F_P8CILOW,Progress 8 - Lower bound,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.56
22,F_P8CILOW,Progress 8 - Lower bound,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.24
23,F_P8CILOW,Progress 8 - Lower bound,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.72
24,F_P8CILOW,Progress 8 - Lower bound,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.56
25,F_P8CILOW,Progress 8 - Lower bound,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,-0.24
26,F_P8CILOW,Progress 8 - Lower bound,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,0.11
0,F_P8CIHI,Progress 8 - Upper bound,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.06
1,F_P8CIHI,Progress 8 - Upper bound,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.03
2,F_P8CIHI,Progress 8 - Upper bound,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.29
3,F_P8CIHI,Progress 8 - Upper bound,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.69
4,F_P8CIHI,Progress 8 - Upper bound,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.52
5,F_P8CIHI,Progress 8 - Upper bound,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.59
6,F_P8CIHI,Progress 8 - Upper bound,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.12
7,F_P8CIHI,Progress 8 - Upper bound,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.06
8,F_P8CIHI,Progress 8 - Upper bound,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.27
9,F_P8CIHI,Progress 8 - Upper bound,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.26
10,F_P8CIHI,Progress 8 - Upper bound,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.22
11,F_P8CIHI,Progress 8 - Upper bound,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.47
12,F_P8CIHI,Progress 8 - Upper bound,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.62
13,F_P8CIHI,Progress 8 - Upper bound,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.33
14,F_P8CIHI,Progress 8 - Upper bound,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.51
15,F_P8CIHI,Progress 8 - Upper bound,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.87
16,F_P8CIHI,Progress 8 - Upper bound,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.66
17,F_P8CIHI,Progress 8 - Upper bound,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.37
18,F_P8CIHI,Progress 8 - Upper bound,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.08
19,F_P8CIHI,Progress 8 - Upper bound,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.53
20,F_P8CIHI,Progress 8 - Upper bound,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.35
21,F_P8CIHI,Progress 8 - Upper bound,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,0.64
22,F_P8CIHI,Progress 8 - Upper bound,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,-0.16
23,F_P8CIHI,Progress 8 - Upper bound,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.87
24,F_P8CIHI,Progress 8 - Upper bound,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,0.64
25,F_P8CIHI,Progress 8 - Upper bound,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,-0.16
26,F_P8CIHI,Progress 8 - Upper bound,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,0.12
0,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,33.2
1,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,32.8
2,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,24.8
3,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,74.5
4,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,88.3
5,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,37.3
6,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,33.2
7,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,41.4
8,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,33.7
9,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,24.4
10,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,31.2
11,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,29.3
12,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,19.4
13,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,38.4
14,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,30.5
15,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,12.0
16,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,22.1
17,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,35.1
18,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,42.0
19,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,31.6
20,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Any other black background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,37.7
21,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Other,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,34.2
22,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,Unclassified,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,42.4
23,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,CHINESE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,12.0
24,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,OTHER,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,34.2
25,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,NONCLASSIFIED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,42.4
26,F_NOT_L2BASICS,%age did not achieve English and Maths A*-C,Female,All pupils,ALL,England,Country,All,FSM,2015-16,Academic Year,33.0
0,F_L2BASICS,%age achieved English and Maths A*-C,Female,WHITE,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,66.8
1,F_L2BASICS,%age achieved English and Maths A*-C,Female,White British,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,67.2
2,F_L2BASICS,%age achieved English and Maths A*-C,Female,White Irish,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,75.2
3,F_L2BASICS,%age achieved English and Maths A*-C,Female,Traveller of Irish heritage,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,25.5
4,F_L2BASICS,%age achieved English and Maths A*-C,Female,Gypsy/Roma,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,11.7
5,F_L2BASICS,%age achieved English and Maths A*-C,Female,Any other white background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,62.7
6,F_L2BASICS,%age achieved English and Maths A*-C,Female,MIXED,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,66.8
7,F_L2BASICS,%age achieved English and Maths A*-C,Female,White and Black Caribbean,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,58.6
8,F_L2BASICS,%age achieved English and Maths A*-C,Female,White and Black African,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,66.3
9,F_L2BASICS,%age achieved English and Maths A*-C,Female,White and Asian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,75.6
10,F_L2BASICS,%age achieved English and Maths A*-C,Female,Any other mixed background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,68.8
11,F_L2BASICS,%age achieved English and Maths A*-C,Female,ASIAN,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,70.7
12,F_L2BASICS,%age achieved English and Maths A*-C,Female,Indian,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,80.6
13,F_L2BASICS,%age achieved English and Maths A*-C,Female,Pakistani,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,61.6
14,F_L2BASICS,%age achieved English and Maths A*-C,Female,Bangladeshi,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,69.5
15,F_L2BASICS,%age achieved English and Maths A*-C,Female,Chinese,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,88.0
16,F_L2BASICS,%age achieved English and Maths A*-C,Female,Any other Asian background,ONS_18+1,England,Country,All,FSM,2015-16,Academic Year,77.9
17,F_L2BASICS,%age achieved English and Maths A*-C,Female,BLACK,ONS_2001_5,England,Country,All,FSM,2015-16,Academic Year,64.9
