uri,group,stats_group,value,national
/work/employment/participationinthelabourmarket/unemploymentrate,Any other Mixed background,Mixed,0.112,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Asian,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Indian,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Pakistani,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Bangladeshi,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Chinese,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Other Asian,Asian,0.07,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Black,Black,0.14,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Black African,Black,0.14,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Black Caribbean,Black,0.14,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Black Other,Black,0.14,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Other,Other,0.09,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Arab,Other,0.09,0.054
/work/employment/participationinthelabourmarket/unemploymentrate,Any other group,Other,0.09,0.054
